"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","currentProduct","currentProject","historicalMean","predictedConsumptionAveraged"
"22","1.15789473684211","0","1.15789473684211","1.15789473684211","1.15789473684211","0.289473684210526","1.15789473684211","1.15789473684211","1","1.44736842105263","0.578947368421053","1.73684210526316","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG1C3","CT974v2","345.454545454545","1.25438596491228"
"23","0","1","0","0","2","2","0","2","2","2","0.5","0.5","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG2C-","CT974v2","2","1.75"
"24","0.96","0","0","1.92","1.92","0","1.92","1.92","1.92","0.48","0.48","0.48","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG2C-","CT974v2","2.08333333333333","2.04"
"25","0","0","1.91304347826087","1.91304347826087","0","1.91304347826087","1.91304347826087","1.91304347826087","0.478260869565217","0.478260869565217","0.478260869565217","1","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG2C-","CT974v2","2.09090909090909","2.2"
"26","0","1.73913043478261","1.73913043478261","0","1.73913043478261","1.73913043478261","1.73913043478261","0.434782608695652","0.434782608695652","0.434782608695652","1","1","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG2C-","CT974v2","2.3","1.95652173913044"
"27","1.6","1.6","0","1.6","1.6","1.6","0.4","0.4","0.4","1","1","0.8","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG2C-","CT974v2","2.5","2.2"
"28","1.48148148148148","0","1.48148148148148","1.48148148148148","1.48148148148148","0.37037037037037","0.37037037037037","0.37037037037037","1","1","0.740740740740741","2.22222222222222","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG2C-","CT974v2","2.7","2.03703703703704"
"29","1.27659574468085","0.765957446808511","1.27659574468085","1.27659574468085","1.27659574468085","0.51063829787234","1.27659574468085","1.02127659574468","1.02127659574468","0.765957446808511","0.51063829787234","1.02127659574468","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG1A-","CT974v2","3.91666666666667","1.1063829787234"
"30","0.782608695652174","1.30434782608696","1.30434782608696","1.30434782608696","0.521739130434783","1.30434782608696","1.04347826086957","1.04347826086957","0.782608695652174","0.521739130434783","1.04347826086957","1.04347826086957","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG1A-","CT974v2","3.83333333333333","1.08695652173913"
"31","1.36363636363636","1.36363636363636","1.36363636363636","0.545454545454546","1.36363636363636","1.09090909090909","1.09090909090909","0.818181818181818","0.545454545454546","1.09090909090909","1.09090909090909","0.272727272727273","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG1A-","CT974v2","3.66666666666667","1.27272727272727"
"32","1.36363636363636","1.36363636363636","0.545454545454546","1.36363636363636","1.09090909090909","1.09090909090909","0.818181818181818","0.545454545454546","1.09090909090909","1.09090909090909","0.272727272727273","1.36363636363636","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG1A-","CT974v2","3.66666666666667","1.27272727272727"
"33","1.3953488372093","0.558139534883721","1.3953488372093","1.11627906976744","1.11627906976744","0.837209302325581","0.558139534883721","1.11627906976744","1.11627906976744","0.27906976744186","1.3953488372093","1.11627906976744","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG1A-","CT974v2","3.58333333333333","1.44186046511628"
"34","0.533333333333333","1.33333333333333","1.06666666666667","1.06666666666667","0.8","0.533333333333333","1.06666666666667","1.06666666666667","0.266666666666667","1.33333333333333","1.06666666666667","1.86666666666667","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG1A-","CT974v2","3.75","1.33333333333333"
"35","1.06666666666667","1.06666666666667","1.06666666666667","1.86666666666667","1.6","0.266666666666667","1.06666666666667","1.6","1.06666666666667","0.533333333333333","0.533333333333333","0.266666666666667","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG1AB","CT974v2","3.75","0.906666666666667"
"36","1.11627906976744","1.11627906976744","1.95348837209302","1.67441860465116","0.27906976744186","1.11627906976744","1.67441860465116","1.11627906976744","0.558139534883721","0.558139534883721","0.27906976744186","0.558139534883721","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG1AB","CT974v2","3.58333333333333","1.11627906976744"
"37","1.12820512820513","1.97435897435897","1.69230769230769","0.282051282051282","1.12820512820513","1.69230769230769","1.12820512820513","0.564102564102564","0.564102564102564","0.282051282051282","0.564102564102564","1","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG1AB","CT974v2","3.54545454545455","1.22222222222222"
"38","2.02631578947368","1.73684210526316","0.289473684210526","1.15789473684211","1.73684210526316","1.15789473684211","0.578947368421053","0.578947368421053","0.289473684210526","0.578947368421053","1","0.868421052631579","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG1AB","CT974v2","3.45454545454545","1.35087719298246"
